label,J,mu_over_J,t_yr,omega_e,beta_deg,alpha_deg,Id_over_Is,eps_beta
J = 0.1,0.1000,1.0e-03,0.000000,5.23598776e-03,75.0000,0.0000,0.391297,1.006167e-03
J = 0.1,0.1000,1.0e-03,0.006667,5.23224742e-03,68.9491,355.9634,0.391577,8.596419e-04
J = 0.1,0.1000,1.0e-03,0.013334,5.22849370e-03,63.9853,350.6035,0.391858,6.628861e-04
J = 0.1,0.1000,1.0e-03,0.020001,5.22472658e-03,60.4436,344.0885,0.392141,4.233445e-04
J = 0.1,0.1000,1.0e-03,0.026668,5.22094607e-03,58.5981,336.8336,0.392425,1.584910e-04
J = 0.1,0.1000,1.0e-03,0.033336,5.21715215e-03,58.5778,329.4941,0.392710,1.053537e-04
J = 0.1,0.1000,1.0e-03,0.040003,5.21334484e-03,60.3098,322.8003,0.392997,3.414718e-04
J = 0.1,0.1000,1.0e-03,0.046670,5.20952413e-03,63.5373,317.3328,0.393285,5.323790e-04
J = 0.1,0.1000,1.0e-03,0.053337,5.20569003e-03,67.8970,313.4081,0.393575,6.722157e-04
J = 0.1,0.1000,1.0e-03,0.060004,5.20184252e-03,73.0002,311.1144,0.393866,7.620196e-04
J = 0.1,0.1000,1.0e-03,0.066671,5.19798161e-03,78.4792,310.4116,0.394158,8.038238e-04
J = 0.1,0.1000,1.0e-03,0.073338,5.19410731e-03,84.0000,311.2124,0.394452,7.973227e-04
J = 0.1,0.1000,1.0e-03,0.080005,5.19021962e-03,89.2573,313.4212,0.394748,7.394335e-04
J = 0.1,0.1000,1.0e-03,0.086672,5.18631853e-03,93.9660,316.9376,0.395045,6.259973e-04
J = 0.1,0.1000,1.0e-03,0.093340,5.18240405e-03,97.8588,321.6354,0.395343,4.549865e-04
J = 0.1,0.1000,1.0e-03,0.100007,5.17847619e-03,100.6957,327.3335,0.395643,2.304539e-04
J = 0.1,0.1000,1.0e-03,0.106674,5.17453495e-03,102.2841,333.7736,0.395944,3.431908e-05
